date	AAPL	MSFT	NVDA	PLTR	SPY	TSLA
2023-11-30	0.11378020767974384	0.12294532925992963	0.14688571466543543	0.35472966072070067	0.0913439289820448	0.19537943740621833
2023-12-31	0.01358240869795213	-0.007574439178445358	0.05893425006675379	-0.14364086136438314	0.04565530281602137	0.03498831153123483
2024-01-31	-0.04222713796995248	0.05728120699322092	0.2424175144482701	-0.06290040296488841	0.015926518173811077	-0.2462572581033916
2024-02-29	-0.018543177665272026	0.04231845391203004	0.2858093657268188	0.5587321122350781	0.05218672091573828	0.07790064669600238
2024-03-31	-0.051286296018262845	0.01711621546174502	0.14218126718865998	-0.08253587325044653	0.032701902773773606	-0.12923524353897475
2024-04-30	-0.006706317788891303	-0.0746101736858592	-0.04376019824927779	-0.04519777945164716	-0.0403195038810259	0.042607689739043275
2024-05-31	0.1302221921064548	0.06819090047192033	0.26887099254733293	-0.013199773201742038	0.05057982186801224	-0.02837187354253501
2024-06-30	0.09555268340620593	0.07665067635088385	0.12694309103154255	0.16835791361399965	0.03527998068344762	0.11118599982126098
2024-07-31	0.054410857279600044	-0.06398920220504367	-0.05277651840575204	0.06158703002925803	0.012109038346461487	0.17278149180183244
2024-08-31	0.03235355420680941	-0.0010951369484436535	0.02008217462760542	0.17069543535783227	0.023365694906978707	-0.0773904690267696
2024-09-30	0.017467272878927576	0.031548120220337816	0.01742803138700255	0.18170270978017866	0.02100458893667101	0.22194201175563144
2024-10-31	-0.030429263422064645	-0.055658727308506295	0.09321479744708316	0.1172043150788109	-0.008923564198756617	-0.045025412068364745
2024-11-30	0.05170692422492418	0.04419237566905343	0.0413528406323993	0.6140519637750632	0.059633414664085116	0.3814688622385136
2024-12-31	0.055155291044891586	-0.004628587300083975	-0.028576882153825034	0.12745967783210554	-0.02406008195782694	0.17000808915631316
2025-01-31	-0.05758324593089459	-0.015278644099779304	-0.10589023649201901	0.09070475815786883	0.026856310796173677	0.0018819576379678349
2025-02-28	0.02587240700071991	-0.041618141050649204	0.04039306589811753	0.029458120597710247	-0.012694776777301908	-0.2758773935575025
2025-03-31	-0.0815001347836245	-0.05440933445104257	-0.132324908063841	-0.006123370869979161	-0.05571919842012785	-0.11543452131892018
2025-04-30	-0.043353014323267214	0.05293158280475718	0.004982471519607401	0.4033175391008721	-0.008670139114213993	0.08874826236685496
2025-05-31	-0.05358406523857118	0.16683985530871492	0.24063535721768625	0.11263083470882318	0.06284494761614745	0.2278848417863253
2025-06-30	0.021508544579914135	0.08048057152578059	0.16925162601006294	0.03445142348593744	0.05138613494267763	-0.08312644606383923
2025-07-31	0.011697684229461824	0.07255576181506562	0.12583067873165943	0.16160502931093235	0.023031548217528286	-0.02955995259140498
2025-08-31	0.11963891074454747	-0.048691700401007454	-0.02074550257324248	-0.01035680029324626	0.020519507582030583	0.08304410748975077
2025-09-30	0.032523490443734815	-0.02307131063387846	-0.04110683605692833	-0.022972407308288756	0.003395089501356807	0.05082817105127013
