date	AAPL	MSFT	NVDA	PLTR	SPY	TSLA
2023-10-31	169.11355590820312	333.0903625488281	40.758277893066406	14.800000190734863	408.7943420410156	200.83999633789062
2023-11-30	188.35533142089844	374.0422668457031	46.745086669921875	20.049999237060547	446.1352233886719	240.0800018310547
2023-12-31	190.9136505126953	371.2091064453125	49.49997329711914	17.170000076293945	466.503662109375	248.47999572753906
2024-01-31	182.85191345214844	392.472412109375	61.4996337890625	16.09000015258789	473.9334411621094	187.2899932861328
2024-02-29	179.4612579345703	409.08123779296875	79.0768051147461	25.079999923706055	498.6664733886719	201.8800048828125
2024-03-31	170.25735473632812	416.0831604003906	90.3200454711914	23.010000228881836	514.9738159179688	175.7899932861328
2024-04-30	169.1155548095703	385.03912353515625	86.36762237548828	21.969999313354492	494.2103271484375	183.27999877929688
2024-05-31	191.13815307617188	411.2952880859375	109.58937072753906	21.68000030517578	519.2073974609375	178.0800018310547
2024-06-30	209.40191650390625	442.82135009765625	123.50098419189453	25.329999923706055	537.5250244140625	197.8800048828125
2024-07-31	220.795654296875	414.4855651855469	116.9830322265625	26.889999389648438	544.033935546875	232.07000732421875
2024-08-31	227.93917846679688	414.0316467285156	119.33230590820312	31.479999542236328	556.7456665039062	214.11000061035156
2024-09-30	231.920654296875	427.09356689453125	121.41203308105469	37.20000076293945	568.4398803710938	261.6300048828125
2024-10-31	224.8634796142578	403.32208251953125	132.72943115234375	41.560001373291016	563.3673706054688	249.85000610351562
2024-11-30	236.490478515625	421.1458435058594	138.21817016601562	67.08000183105469	596.962890625	345.1600036621094
2024-12-31	249.5341796875	419.196533203125	134.26832580566406	75.62999725341797	582.5999145507812	403.8399963378906
2025-01-31	235.16519165039062	412.7917785644531	120.05062103271484	82.48999786376953	598.2463989257812	404.6000061035156
2025-02-28	241.24948120117188	395.6121520996094	124.89983367919922	84.91999816894531	590.6517944335938	292.9800109863281
2025-03-31	221.58761596679688	374.087158203125	108.37247467041016	84.4000015258789	557.7411499023438	259.1600036621094
2025-04-30	211.9811248779297	393.88818359375	108.91243743896484	118.44000244140625	552.9054565429688	282.1600036621094
2025-05-31	200.622314453125	459.60443115234375	135.12062072753906	131.77999877929688	587.6527709960938	346.4599914550781
2025-06-30	204.93740844726562	496.5936584472656	157.99000549316406	136.32000732421875	617.8499755859375	317.6600036621094
2025-07-31	207.33470153808594	532.6243896484375	177.8699951171875	158.35000610351562	632.0800170898438	308.2699890136719
2025-08-31	232.13999938964844	506.69000244140625	174.17999267578125	156.7100067138672	645.0499877929688	333.8699951171875
2025-09-30	239.69000244140625	495.0	167.02000427246094	153.11000061035156	647.239990234375	350.8399963378906
