index	return	risk	AAPL	MSFT	NVDA	PLTR	SPY	TSLA
0	0.020248022073629093	0.03414550818027074	0.13454423100358573	0.0	0.0	1.3227071535267836e-17	0.8654557689964143	0.0
1	0.021262829355101733	0.03449256581534871	0.12140284504089534	8.230516600631715e-17	3.2683037283741096e-17	0.009557214731996706	0.8690399402271078	5.120544494109135e-17
2	0.022277636636574366	0.03494357699031544	0.12021336746509302	0.0	1.5100058766005174e-17	0.0195630691925367	0.8602235633423702	2.389708296459764e-17
3	0.023292443918858492	0.03548801863195153	0.11902388042497124	5.701274356166912e-17	0.0	0.02956892330585056	0.851407196269178	0.0
4	0.024307251199380795	0.03612166631053943	0.11783440197815213	0.0	5.0678752846717864e-18	0.039574777724283146	0.8425908202975646	0.0
5	0.025322058480996154	0.036836760521892775	0.11849250774633459	2.1687325800104788e-17	0.003656387655603977	0.04788250997598832	0.8299685946220732	0.0
6	0.026336865762461407	0.037597482342913914	0.12213905220463718	0.0	0.013226523354369106	0.05344375039659577	0.811190674044398	1.6958436365984118e-17
7	0.027351673043930835	0.03839320016660931	0.12578511865888303	8.318516058484546e-17	0.022796801050315212	0.05900490423381287	0.7924131760569889	0.0
8	0.02836648032538299	0.03922178409086576	0.1294313202801086	1.1031846229159209e-16	0.032366849262163384	0.06456617407582067	0.7736356563819073	0.0
9	0.02938128760692038	0.040081195881552664	0.13307463892884938	7.093872795820686e-17	0.041937805998017566	0.07012689652544296	0.7548606585476901	0.0
10	0.03039609488834813	0.040969495566059895	0.136723828701486	0.0	0.051506947671567035	0.07568871674866977	0.7360805068782772	0.0
11	0.03141090216977279	0.04188484521460645	0.14036607061633227	9.762819326554839e-18	0.061080267876133285	0.0812482562936286	0.7173054052139058	0.0
12	0.032425709451332385	0.04282551036113222	0.14401347349927218	2.636320946855162e-17	0.0706495786625158	0.08680992769544806	0.698527020142764	2.239021358094249e-18
13	0.03344051673276907	0.043789859607083176	0.14766220147811435	6.765479956866284e-17	0.08021707277995833	0.0923725270027665	0.6797481987391607	0.0
14	0.03445532401424609	0.044776362726597754	0.15130877252261676	4.2993944797782226e-17	0.08978714018052629	0.0979338014363833	0.6609702858604737	0.0
15	0.03547013129571644	0.04578358768696894	0.15495549643384957	0.0	0.0993546584298867	0.10349631385197176	0.642193531284292	5.7842624721416606e-18
16	0.03648493857721016	0.04681019687519263	0.15860018929466346	1.5552144757947137e-17	0.10892870986809916	0.1090555919251621	0.6234155089120753	0.0
17	0.03749974585866007	0.04785494278807496	0.16224753232339884	0.0	0.11849760265929503	0.11461746313542133	0.6046374018818849	3.421890424026797e-17
18	0.038514553140132454	0.04891666336519745	0.1658937621788451	6.100316120659532e-17	0.12806766617338927	0.12017872664044894	0.5858598450073167	0.0
19	0.039529360421612814	0.04999427715297634	0.16953997510691002	9.861855883361263e-17	0.13763773091865947	0.12573998891500823	0.5670823050594223	0.0
20	0.04054416770307702	0.05108677841713179	0.17318620217359415	1.364457330585408e-17	0.14720780563853025	0.13130124689847	0.5483047452894056	0.0
21	0.0415589749845602	0.05219323229850355	0.1768323982728797	8.06853448468665e-17	0.1567778932273756	0.1368624974989116	0.5295272110008331	0.0
22	0.042573782266030286	0.053312770085776014	0.1804785748644365	0.0	0.1663480170948765	0.1424237298300835	0.5107496782106035	1.2134251539897987e-17
23	0.04358858954746101	0.054444584657510536	0.18412035699989046	0.0	0.17591917256501147	0.14798429853551137	0.4919761718995867	5.463779347426653e-18
24	0.04460339682899158	0.05558792612023272	0.1877698409595134	0.0	0.1854888703482786	0.15354586098269166	0.47319542770951634	4.860459943256525e-17
25	0.045618204110446425	0.05674209768724708	0.19141737904818035	1.2823902747044975e-17	0.1950579335061251	0.1591076571607987	0.45441703028489594	0.0
26	0.046633011391906065	0.05790645177627193	0.19506362547141956	0.0	0.20462798215118308	0.1646689284752064	0.43563946390219094	3.911282359014803e-17
27	0.04764781867338522	0.059080386359757826	0.1987098480494614	0.0	0.21419800716864384	0.17023021031616217	0.4168619344657326	2.0209030439848098e-17
28	0.04866262595486334	0.06026334155395127	0.20235609418123482	0.0	0.22376802308488483	0.1757914974407191	0.3980843852931613	0.0
29	0.04967743323633195	0.061454796442640486	0.2060023424508763	0.0	0.2333380394298739	0.18135278443817693	0.379306833681073	1.1195823798643557e-17
30	0.05069224051785194	0.06265426613200888	0.2096407458243145	7.518417313151176e-17	0.24291090514288685	0.18691239959484318	0.36053594943795547	9.60464277402617e-18
31	0.05170704779923713	0.0638612990031323	0.21328897483122367	0.0	0.2524803588109518	0.19247403293709772	0.3417566334207268	1.970854289201609e-17
32	0.05272185508077898	0.06507547421262788	0.21693705771519145	0.0	0.2620498064180358	0.19803566372571607	0.32297747214105677	0.0
33	0.05373666236224237	0.06629639933961681	0.22058483153068334	0.0	0.2716193030262874	0.2035972592251694	0.3041986062178599	0.0
34	0.054751469643684214	0.06752370824060519	0.22423220546542377	5.224711858571413e-17	0.2811888969125395	0.20915879269047247	0.2854201049315642	0.0
35	0.055766276925173504	0.06875705906655848	0.2278795438688661	0.0	0.2907583650274723	0.21472038561957926	0.2666417054840822	2.3078453949538476e-17
36	0.056781084206637196	0.0699961324370534	0.2315258508170602	0.0	0.3003281883420694	0.22028176812930286	0.24786419271156745	5.2030864651415e-18
37	0.05779589148728414	0.07124062975856	0.23517221448054523	0.0	0.30989824879776406	0.22584303812732975	0.2290864985943609	4.646598459502571e-18
38	0.058810698769641324	0.07249027168300737	0.23881842405465725	0.0	0.3194683110587797	0.2314043014855486	0.21030896340101435	3.797439749960527e-18
